GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator,com.example.hogskolan.Calculator,BasicCalculator,0,36,0,2,0,12,0,6,0,5
Calculator,com.example.hogskolan.Calculator,AdvancedCalculator,0,33,0,0,0,12,0,6,0,6
Calculator,com.example.hogskolan.Main,Main,18,0,0,0,5,0,2,0,2,0
